,Symbol,Empresa,Subsetor
68,CGAS3,COMGAS      ,Gás
69,CGRA3,GRAZZIOTIN  ,Comércio
70,CIEL3,CIELO       ,Serviços Financeiros Diversos
71,CLSC3,CELESC      ,Energia Elétrica
72,CMIG3,CEMIG       ,Energia Elétrica
73,CNTO3,CENTAURO,Comércio
74,COCE3,COELCE      ,Energia Elétrica
75,COGN3,COGNA ON,Diversos
76,CORR3,COR RIBEIRO ,Exploração de Imóveis
77,CPFE3,CPFL ENERGIA,Energia Elétrica
78,CPLE3,COPEL       ,Energia Elétrica
79,CPRE3,CPFL RENOVAV,Energia Elétrica
80,CRDE3,CR2         ,Construção Civil
81,CRFB3,CARREFOUR BR,Comércio e Distribuição
82,CRIV3,ALFA FINANC ,Intermediários Financeiros
83,CRPG3,CRISTAL,Químicos
84,CSAB3,SEG AL BAHIA,Previdência e Seguros
85,CSAN3,COSAN       ,"Petróleo, Gás e Biocombustíveis"
86,CSMG3,COPASA      ,Água e Saneamento
87,CSNA3,SID NACIONAL,Siderurgia e Metalurgia
88,CSRN3,COSERN      ,Energia Elétrica
89,CTKA3,KARSTEN     ,"Tecidos, Vestuário e Calçados"
90,CTNM3,COTEMINAS   ,"Tecidos, Vestuário e Calçados"
91,CTSA3,SANTANENSE  ,"Tecidos, Vestuário e Calçados"
92,CVCB3,CVC BRASIL,Viagens e Lazer
93,CYRE3,CYRELA REALT,Construção Civil
94,DASA3,DASA        ,"Serviços Médico - Hospitalares,Análises e Diagnósticos"
95,DIRR3,DIRECIONAL  ,Construção Civil
96,DMMO3,DOMMO,"Petróleo, Gás e Biocombustíveis"
97,DOHL3,DOHLER      ,"Tecidos, Vestuário e Calçados"
98,DTCY3,DTCOM-DIRECT,Serviços Diversos
99,DTEX3,DURATEX     ,Madeira e Papel
100,EALT3,ACO ALTONA  ,Máquinas e Equipamentos
101,ECOR3,ECORODOVIAS ,Transporte
102,EGIE3,ENGIE BRASIL,Energia Elétrica
103,EKTR3,ELEKTRO     ,Energia Elétrica
104,ELEK3,ELEKEIROZ   ,Químicos
105,ELET3,ELETROBRAS  ,Energia Elétrica
106,EMAE4,EMAE        ,Energia Elétrica
107,EMBR3,EMBRAER     ,Material de Transporte
108,ENAT3,ENAUTA PART,"Petróleo, Gás e Biocombustíveis"
